City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Tautira,PF,79.41,Light rain,-17.7333,-149.15,Pension Oaoa
622,Alofi,NU,80.49,Scattered clouds,-19.0595,-169.9187,Taloa Heights
624,Labuhan,ID,84.99,Broken clouds,-6.8844,112.2051,DoubleFAG
634,Paducah,US,86.22,Clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
635,Portobelo,PA,79.11,Broken clouds,9.55,-79.65,Scuba Portobelo
637,Monrovia,LR,76.93,Light rain,6.3005,-10.7969,Sunset Inn
640,Denpasar,ID,83.86,Few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
642,Mackay,AU,79.68,Clear sky,-21.15,149.2,International Lodge Motel
644,Buala,SB,82.72,Light rain,-8.145,159.5921,Maringe Lagoon Lodge
646,Eydhafushi,MV,83.17,Broken clouds,5.1033,73.0708,Soneva Fushi
649,Nador,MA,75.45,Light rain,35.174,-2.9287,Hôtel La Giralda
652,Banda Aceh,ID,82.47,Overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
654,Skeldon,GY,75.0,Few clouds,5.8833,-57.1333,Classic International Hotel & Suites
659,Bocas Del Toro,PA,76.41,Overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
663,Kon Tum,VN,84.31,Overcast clouds,14.35,108.0,Hoa đà spa- homestay
667,Pflugerville,US,88.65,Haze,30.4394,-97.62,Comfort Suites Pflugerville - Austin North
669,Ranau,MY,83.97,Overcast clouds,5.9538,116.6641,The Second Room
676,Albemarle,US,84.76,Clear sky,35.3501,-80.2001,"Holiday Inn Express & Suites Albemarle, an IHG Hotel"
679,Basco,PH,85.33,Overcast clouds,20.4487,121.9702,Nathaniel's Lodge
680,Kailua,US,80.58,Scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
681,Maceio,BR,75.78,Light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
685,Anloga,GH,76.69,Moderate rain,5.7947,0.8973,Pin Drop Hotel
686,Bacolod,PH,87.17,Overcast clouds,10.6667,122.95,Planta Hotel & Residences
687,Tiarei,PF,82.42,Light rain,-17.5333,-149.3333,Le Rocher de Tahiti
691,Ajmer,IN,87.87,Clear sky,26.45,74.6333,OYO 862 Hotel Embassy
692,Port Hedland,AU,84.25,Clear sky,-20.3167,118.5667,The Esplanade Hotel
695,Kalmunai,LK,79.77,Moderate rain,7.4167,81.8167,VS Villa
698,Pointe Michel,DM,80.62,Overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
703,Boyolangu,ID,83.82,Scattered clouds,-8.1181,111.8935,Yos ega cv
704,Wanning,CN,86.9,Overcast clouds,18.8003,110.3967,Paradise Hotel
710,Leticia,CO,75.25,Broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
711,Mersing,MY,85.91,Light rain,2.4312,103.8405,Timotel Hotel
720,Aloleng,PH,84.69,Overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
723,Chanute,US,82.51,Clear sky,37.6792,-95.4572,Guest House Motel Chanute
726,Namatanai,PG,83.37,Light rain,-3.6667,152.4333,Seagulls Inn Namatani
727,Abu Dhabi,AE,87.96,Clear sky,24.4667,54.3667,Beach Rotana
729,Amahai,ID,83.07,Broken clouds,-3.3333,128.9167,HOTEL ISABELA
732,Jiuquan,CN,83.41,Overcast clouds,39.7432,98.5174,Jiuquan Hotel
733,Kattivakkam,IN,87.89,Overcast clouds,13.2167,80.3167,Euronova Freezer
736,Bhuban,IN,89.62,Overcast clouds,20.8833,85.8333,Prasanta Sahoo
737,Duliagaon,IN,75.07,Light rain,27.3667,95.3167,Kanchanjongha Complex
738,Pakxan,LA,83.97,Overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
740,Lichuan,CN,77.72,Light rain,30.3,108.85,Yuanlai Homestay
743,Mitsamiouli,KM,77.54,Clear sky,-11.3847,43.2844,Foyer ADM
744,Tual,ID,81.82,Broken clouds,-5.6667,132.75,Grand Vilia Hotel
747,Waingapu,ID,85.42,Scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
748,Linkou,CN,75.87,Scattered clouds,45.3,130.2833,Yueliang Resort
749,Lodwar,KE,79.25,Few clouds,3.1191,35.5973,Solmar Gracious Hotel
