City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Atmakur,IN,85.37,Overcast clouds,15.8833,78.5833,Mee seva atk
402,Fort-Shevchenko,KZ,78.91,Scattered clouds,44.5086,50.263000000000005,Oasis hotel Bautino
404,Virginia Beach,US,77.02,Clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
410,Stillwater,US,84.47,Clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
412,Vermilion,US,87.57,Clear sky,40.1667,-87.7506,Sparkling Springs Cabin
417,Nanding,CN,85.71,Overcast clouds,36.7483,118.0558,锦江之星淄博火车站店
424,Solnechnyy,RU,75.74,Overcast clouds,50.7214,136.6319,Hotel complex Pastoral
425,Kloulklubed,PW,84.2,Overcast clouds,7.0419,134.2556,Storyboard Beach Resort
431,Alugan,PH,86.2,Scattered clouds,12.2188,125.4808,JM Lodge
433,Cookeville,US,81.63,Clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
438,Linqiong,CN,79.86,Overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
440,Dibulla,CO,77.95,Overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
443,Srivardhan,IN,83.12,Broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
445,Ixtapa,MX,78.22,Overcast clouds,20.7,-105.2,hotel la terminal
446,Progreso,MX,78.12,Clear sky,21.2833,-89.6667,Playa Linda Hotel
450,Hampton,US,77.02,Clear sky,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
453,Ashland,US,80.47,Clear sky,40.8167,-82.2665,SureStay
457,Salalah,OM,81.12,Broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
458,Hanyang,CN,81.54,Overcast clouds,32.1371,105.5126,Forestry Hostel
461,Hunchun,CN,75.34,Overcast clouds,42.8675,130.3581,International Hotel
463,Marawi,PH,82.71,Moderate rain,7.9986,124.2928,Derogongan Residence
466,Chifeng,CN,80.82,Clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
469,Gladstone,AU,76.93,Broken clouds,-23.85,151.25,Highpoint International Hotel
472,Patawag,PH,85.53,Scattered clouds,8.1064,122.6208,Banigan Beach
475,Panaba,MX,77.81,Clear sky,21.2833,-88.2667,Hotel Don Fernando
480,Hambantota,LK,77.34,Shower rain,6.1241,81.1185,Bungalow 63
483,Yuci,CN,83.95,Clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
495,Tagusao,PH,86.79,Overcast clouds,9.1924,117.8141,Green Villa beach resort
497,Khilok,RU,79.63,Broken clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
498,Warangal,IN,83.05,Overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
500,Arlit,NE,86.0,Overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
501,Saint-Georges,GD,78.94,Overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
504,Aswan,EG,80.69,Clear sky,24.0934,32.907,Nuba Nile
505,Nhulunbuy,AU,79.41,Broken clouds,-12.2333,136.7667,East Arnhem Real Estate
508,Shimoda,JP,75.0,Overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
509,Makakilo City,US,79.12,Light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
512,Bonthe,SL,76.37,Light rain,7.5264,-12.505,Bonthe Holiday Village
519,Sola,VU,80.19,Overcast clouds,-13.8833,167.55,Leumerus Bungalows
521,Bambanglipuro,ID,84.15,Scattered clouds,-7.95,110.2833,Puri Brata
523,Miami,US,83.01,Broken clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
524,Libreville,GA,75.07,Overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
531,Morgan City,US,84.02,Clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
537,Moroni,KM,76.12,Clear sky,-11.7022,43.2551,Hotel Les Arcades
540,Orocovis,PR,76.75,Overcast clouds,18.2271,-66.3917,Finca Vista Bella
545,Bubaque,GW,79.47,Light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
549,Karratha,AU,81.41,Broken clouds,-20.7377,116.8463,ibis Styles Karratha
552,Gibara,CU,76.32,Broken clouds,21.1097,-76.1317,Sol y Mar
554,Moerai,PF,75.94,Overcast clouds,-22.4333,-151.3333,Le Manotel
556,Isangel,VU,79.68,Clear sky,-19.55,169.2667,Tanna Lodge
558,Bandar-E Lengeh,IR,88.79,Few clouds,26.5579,54.8807,کافی نت پارس
561,Waynesboro,US,78.76,Clear sky,38.0685,-78.8895,"Holiday Inn Express & Suites Waynesboro-Route 340, an IHG Hotel"
563,Kununurra,AU,84.18,Overcast clouds,-15.7667,128.7333,Hotel Kununurra
566,George Town,MY,84.13,Few clouds,5.4112,100.3354,Cititel Penang
567,Bilma,NE,86.43,Overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
570,Carmen,MX,82.02,Broken clouds,18.6333,-91.8333,Hotel Lossandes
574,Komsomolskiy,UZ,75.92,Scattered clouds,40.4272,71.7189,Ikathouse
576,Shetpe,KZ,81.07,Scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
578,Port Blair,IN,84.24,Scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
580,Tecoanapa,MX,77.05,Overcast clouds,16.5167,-98.75,Hotel Manglares
583,Singaparna,ID,82.76,Overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
592,Kutoarjo,ID,85.69,Broken clouds,-7.7169,109.9128,Massagus Hotel
593,Dingle,PH,87.89,Broken clouds,10.9995,122.6711,SEGAYA PROPERTY
594,Mora,CM,83.88,Broken clouds,11.0461,14.1401,Hotel Emergence
601,Turayf,SA,75.29,Clear sky,31.6725,38.6637,Turaif
606,Benton Harbor,US,86.65,Clear sky,42.1167,-86.4542,The Boulevard Inn & Bistro
608,Kandrian,PG,85.28,Light rain,-6.2167,149.55,Kandrian Station
610,Panama City,PA,81.93,Overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
613,Charters Towers,AU,76.19,Scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
