City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Cayenne,GF,4.9333,-52.3333,80.1,1,0,0.0,Clear sky
128,Kapaa,US,22.0752,-159.319,80.11,80,75,16.11,Broken clouds
129,Tiksi,RU,71.6872,128.8694,37.36,72,11,11.27,Few clouds
130,Souillac,MU,-20.5167,57.5167,71.98,78,20,11.5,Few clouds
131,Mandera,KE,3.9366,41.867,75.72,63,54,12.19,Broken clouds
132,Moose Factory,CA,51.2585,-80.6094,73.4,73,100,11.5,Overcast clouds
133,Pauini,BR,-7.7136,-66.9764,74.71,82,100,0.22,Overcast clouds
134,Rudnya,RU,54.947,31.0934,47.95,91,0,8.19,Clear sky
135,Segou,ML,13.4317,-6.2157,88.0,43,98,6.71,Overcast clouds
136,Akdepe,TM,42.0551,59.3788,73.49,30,11,9.33,Few clouds
137,Mahajanga,MG,-15.7167,46.3167,69.82,94,20,3.44,Few clouds
138,Acurenam,GQ,1.0322,10.6488,67.41,97,98,3.6,Overcast clouds
139,Mayo,US,38.8876,-76.5119,78.96,70,100,12.66,Overcast clouds
140,Isagarh,IN,24.8333,77.8833,80.47,63,100,15.43,Overcast clouds
141,Pisco,PE,-13.7,-76.2167,60.03,77,1,6.91,Smoke
142,Doha,QA,25.2867,51.5333,89.58,44,4,9.22,Clear sky
143,North Bend,US,43.4065,-124.2243,62.24,90,100,10.36,Overcast clouds
144,Khani,GE,41.9563,42.9566,56.77,93,49,1.61,Scattered clouds
145,Jabinyanah,TN,35.035,10.9081,71.4,67,11,4.41,Few clouds
146,Cidreira,BR,-30.1811,-50.2056,57.6,85,3,5.35,Clear sky
147,Mitu,CO,1.1983,-70.1733,66.72,98,69,0.6,Broken clouds
148,Loukhi,RU,66.0764,33.0381,48.09,97,100,11.18,Overcast clouds
149,Pangnirtung,CA,66.1451,-65.7125,36.68,99,100,4.27,Overcast clouds
150,Bure,ET,10.7,37.0667,56.1,88,47,2.35,Scattered clouds
151,Avera,US,33.194,-82.5271,86.05,64,94,7.67,Overcast clouds
152,Bhopal,IN,23.2667,77.4,86.23,54,20,6.91,Few clouds
153,San Quintin,MX,30.4833,-115.95,63.45,79,0,5.17,Clear sky
154,Mayma,RU,52.0197,85.9114,57.96,95,100,3.33,Light rain
155,Talnakh,RU,69.4865,88.3972,69.21,41,100,7.72,Overcast clouds
156,Boguchar,RU,49.9358,40.545,55.09,96,100,8.48,Overcast clouds
157,Tuatapere,NZ,-46.1333,167.6833,47.84,87,100,12.44,Overcast clouds
158,Killybegs,IE,54.6333,-8.45,54.88,92,100,7.18,Overcast clouds
159,Mogadishu,SO,2.0371,45.3438,78.84,83,100,17.36,Overcast clouds
160,Ambovombe,MG,-25.1667,46.0833,68.0,65,44,9.13,Scattered clouds
161,San Matias,BO,-16.3667,-58.4,71.02,70,0,4.5,Clear sky
162,Codrington,AU,-38.2667,141.9667,57.99,80,45,16.02,Scattered clouds
163,Flin Flon,CA,54.7682,-101.865,54.57,76,82,3.29,Broken clouds
